City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description
nowy dwor gdanski,54.2131,19.1177,41.99,95,100,10.8,PL,overcast clouds
nabire,-3.3667,135.4833,76.93,85,100,1.3,ID,overcast clouds
yulara,-25.2406,130.9889,91.45,21,100,17.13,AU,overcast clouds
saskylakh,71.9167,114.0833,-18.45,88,100,7.81,RU,overcast clouds
mbandaka,0.0487,18.2603,86.52,57,99,1.25,CD,overcast clouds
carlisle,40.2015,-77.1889,24.48,49,80,0.98,US,broken clouds
lao cai,22.4833,103.95,60.8,73,93,1.68,VN,overcast clouds
kemijarvi,66.7131,27.4306,10.83,99,100,2.71,FI,overcast clouds
sorland,67.667,12.6934,35.46,69,100,10.47,NO,overcast clouds
new norfolk,-42.7826,147.0587,56.7,62,74,1.01,AU,broken clouds
nizhneyansk,-42.7826,147.0587,56.7,62,74,1.01,AU,broken clouds
san patricio,28.017,-97.5169,50.85,85,97,6.91,US,overcast clouds
vaini,-21.2,-175.2,77.16,94,20,2.3,TO,few clouds
jaciara,-15.9653,-54.9683,76.08,83,51,1.7,BR,broken clouds
yellowknife,62.456,-114.3525,-24.65,100,100,4.65,CA,overcast clouds
zaraza,9.3503,-65.3245,69.03,94,94,3.22,VE,overcast clouds
kodiak,57.79,-152.4072,22.51,93,75,5.75,US,broken clouds
tharad,24.3961,71.6267,82.96,13,0,8.5,IN,clear sky
ushuaia,-54.8,-68.3,60.46,41,0,2.3,AR,clear sky
nanortalik,60.1432,-45.2371,20.23,55,0,4.74,GL,clear sky
darnah,32.767,22.6367,57.72,71,100,21.9,LY,overcast clouds
dehui,44.5333,125.7,5.88,92,100,10.83,CN,overcast clouds
grahamstown,-33.3042,26.5328,66.96,40,49,13.71,ZA,scattered clouds
torbay,47.6666,-52.7314,35.58,87,25,24.0,CA,scattered clouds
hamilton,39.1834,-84.5333,27.93,87,0,4.61,US,mist
halalo,39.1834,-84.5333,27.93,87,0,4.61,US,mist
onverwacht,5.5833,-55.1833,75.06,100,40,1.14,SR,mist
gemena,3.25,19.7667,95.65,20,45,4.29,CD,scattered clouds
kearney,40.6995,-99.0815,9.16,85,100,11.5,US,overcast clouds
burica,40.6995,-99.0815,9.16,85,100,11.5,US,overcast clouds
tuktoyaktuk,69.4541,-133.0374,-17.36,98,94,12.84,CA,overcast clouds
safranbolu,41.2508,32.6942,44.8,49,9,1.61,TR,clear sky
honningsvag,70.9821,25.9704,26.35,68,75,3.44,NO,broken clouds
praia,14.9215,-23.5087,76.75,63,7,19.19,CV,clear sky
elizabeth city,36.2946,-76.2511,39.02,85,0,9.22,US,clear sky
port hedland,-20.3167,118.5667,80.65,61,1,13.8,AU,clear sky
qaanaaq,77.484,-69.3632,-18.4,78,97,3.49,GL,overcast clouds
cape town,-33.9258,18.4232,89.11,41,4,7.0,ZA,clear sky
hilo,19.7297,-155.09,72.1,78,100,5.75,US,overcast clouds
lavrentiya,65.5833,-171.0,8.2,92,31,15.23,RU,scattered clouds
corinto,37.9407,22.9573,55.89,55,4,5.41,GR,clear sky
hofn,64.2539,-15.2082,32.14,63,100,36.37,IS,overcast clouds
rialma,-15.315,-49.5844,68.52,98,100,2.73,BR,overcast clouds
makokou,0.5738,12.8642,83.77,60,87,3.56,GA,light rain
songea,-10.6833,35.65,78.15,56,100,5.64,TZ,overcast clouds
ilulissat,69.2167,-51.1,-1.53,76,41,5.3,GL,scattered clouds
maniitsoq,65.4167,-52.9,16.27,62,33,5.99,GL,scattered clouds
saint-philippe,-21.3585,55.7679,83.79,77,100,8.43,RE,overcast clouds
hami,42.8,93.45,26.46,35,50,6.69,CN,scattered clouds
nikolskoye,59.7035,30.7861,31.89,99,100,8.72,RU,snow
barentsburg,59.7035,30.7861,31.89,99,100,8.72,RU,snow
hayden,47.766,-116.7866,-10.75,98,61,4.68,US,broken clouds
chagda,47.766,-116.7866,-10.75,98,61,4.68,US,broken clouds
muravlenko,63.7898,74.523,-12.71,97,100,13.78,RU,overcast clouds
biak,-0.9131,122.8766,78.82,84,99,1.23,ID,overcast clouds
smolyaninovo,43.2956,132.4675,17.06,97,100,4.54,RU,snow
chuy,-33.6971,-53.4616,72.09,64,2,10.76,UY,clear sky
hobart,-42.8794,147.3294,57.06,73,75,9.22,AU,broken clouds
port lincoln,-34.7333,135.8667,63.54,84,0,13.13,AU,clear sky
yumen,40.2833,97.2,18.32,63,2,17.52,CN,clear sky
auki,-8.7676,160.7034,78.46,87,94,4.18,SB,overcast clouds
bethel,41.3712,-73.414,26.94,82,0,0.0,US,clear sky
hukuntsi,-24.0,21.75,92.97,11,0,4.38,BW,clear sky
kaitangata,-46.2817,169.8464,51.89,89,86,11.39,NZ,overcast clouds
ciudad bolivar,8.1222,-63.5497,72.75,92,100,6.31,VE,overcast clouds
andenes,69.3143,16.1194,27.93,86,75,5.75,NO,broken clouds
bengkulu,-3.8004,102.2655,79.68,86,96,9.95,ID,light rain
jaisinghnagar,23.7,81.3833,71.76,30,34,5.77,IN,scattered clouds
kavieng,-2.5744,150.7967,81.82,78,100,7.96,PG,light rain
almazar,40.3217,69.0106,44.56,46,100,11.03,UZ,overcast clouds
chokurdakh,70.6333,147.9167,-7.29,99,85,5.21,RU,overcast clouds
east london,-33.0153,27.9116,68.88,58,77,12.44,ZA,broken clouds
bluff,-46.6,168.3333,51.96,86,48,11.79,NZ,scattered clouds
khatanga,71.9667,102.5,-20.74,78,0,15.73,RU,clear sky
saint-pierre,-21.3393,55.4781,83.88,58,40,8.05,RE,scattered clouds
chegdomyn,51.1167,133.0167,-21.08,98,95,1.59,RU,overcast clouds
baykit,61.67,96.37,-7.31,100,100,2.3,RU,overcast clouds
lodwar,3.1191,35.5973,95.43,18,91,17.0,KE,overcast clouds
northam,51.0333,-4.2167,49.6,95,97,11.56,GB,overcast clouds
lerwick,60.1545,-1.1494,44.6,75,69,10.29,GB,broken clouds
mar del plata,-38.0023,-57.5575,70.95,79,0,10.36,AR,clear sky
severo-kurilsk,50.6789,156.125,32.95,97,97,17.83,RU,snow
samusu,50.6789,156.125,32.95,97,97,17.83,RU,snow
saldanha,-33.0117,17.9442,71.62,55,4,8.32,ZA,clear sky
harper,4.375,-7.7169,84.56,62,59,2.71,LR,broken clouds
lata,40.1629,-8.3327,61.92,95,100,5.79,PT,overcast clouds
strezhevoy,60.7333,77.5889,-7.53,99,95,6.51,RU,overcast clouds
upernavik,72.7868,-56.1549,7.43,93,98,13.96,GL,overcast clouds
arraial do cabo,-22.9661,-42.0278,75.06,88,75,18.41,BR,broken clouds
erzin,36.9559,36.2,60.3,47,93,4.09,TR,overcast clouds
provideniya,64.3833,-173.3,14.36,85,59,23.17,RU,broken clouds
dum duma,27.5667,95.5667,65.95,51,77,2.04,IN,broken clouds
port elizabeth,-33.918,25.5701,76.1,54,4,5.01,ZA,clear sky
cockburn town,21.4612,-71.1419,78.04,71,12,19.1,TC,few clouds
morro bay,35.3658,-120.8499,53.65,50,1,9.86,US,clear sky
katsuura,35.1333,140.3,44.62,70,98,6.85,JP,overcast clouds
macenta,8.5435,-9.471,86.9,13,97,5.82,GN,overcast clouds
opuwo,-18.0607,13.84,90.86,12,22,10.89,NA,few clouds
vila velha,-20.3297,-40.2925,75.15,98,75,9.22,BR,light rain
kenai,60.5544,-151.2583,7.14,83,100,9.22,US,mist
verkhoyansk,67.5447,133.385,-28.34,98,42,2.08,RU,scattered clouds
brae,60.3964,-1.353,43.18,78,79,7.96,GB,broken clouds
tumannyy,60.3964,-1.353,43.18,78,79,7.96,GB,broken clouds
bathsheba,13.2167,-59.5167,81.21,85,40,25.32,BB,scattered clouds
pokhara,28.2333,83.9833,63.52,61,1,4.21,NP,clear sky
ponta do sol,32.6667,-17.1,71.13,79,70,3.29,PT,broken clouds
illoqqortoormiut,32.6667,-17.1,71.13,79,70,3.29,PT,broken clouds
attawapiskat,32.6667,-17.1,71.13,79,70,3.29,PT,broken clouds
faanui,-16.4833,-151.75,80.76,78,62,19.39,PF,broken clouds
russell,32.3502,-85.1999,42.4,93,100,4.61,US,overcast clouds
hay river,60.8156,-115.7999,-24.45,97,60,4.72,CA,broken clouds
taolanaro,60.8156,-115.7999,-24.45,97,60,4.72,CA,broken clouds
nome,64.5011,-165.4064,10.47,56,0,19.57,US,clear sky
svetlyy,54.675,20.1347,37.45,96,100,15.64,RU,overcast clouds
grand river south east,54.675,20.1347,37.45,96,100,15.64,RU,overcast clouds
norman wells,65.282,-126.8329,-22.11,97,100,6.13,CA,overcast clouds
carutapera,-1.195,-46.02,81.59,73,73,6.51,BR,broken clouds
oranjemund,-28.55,16.4333,76.14,59,5,11.14,NA,clear sky
lilongwe,-13.9669,33.7873,68.97,82,100,3.58,MW,light rain
vostok,46.4856,135.8833,2.37,92,96,4.68,RU,overcast clouds
tiksi,71.6872,128.8694,-13.72,99,93,5.97,RU,overcast clouds
saint george,37.1041,-113.5841,28.99,69,0,0.0,US,clear sky
jasper,37.2001,-94.3502,29.64,88,100,8.05,US,mist
sao filipe,14.8961,-24.4956,78.49,53,2,14.16,CV,clear sky
irtyshskiy,58.3333,68.1333,-6.45,99,85,6.02,RU,overcast clouds
batavia,41.85,-88.3126,17.4,77,0,8.05,US,clear sky
hithadhoo,-0.6,73.0833,81.66,73,95,15.64,MV,overcast clouds
takoradi,4.8845,-1.7554,84.81,63,97,2.59,GH,overcast clouds
tasiilaq,65.6145,-37.6368,15.96,53,0,4.25,GL,clear sky
mahebourg,-20.4081,57.7,83.25,67,14,12.19,MU,few clouds
macedo de cavaleiros,41.5382,-6.9611,55.38,92,95,5.73,PT,overcast clouds
samsun,41.25,36.3333,52.0,55,75,4.61,TR,broken clouds
cherskiy,68.75,161.3,11.75,61,2,7.14,RU,clear sky
puerto rico,-26.796,-55.024,74.61,60,0,4.63,AR,clear sky
dudinka,69.4058,86.1778,-14.39,99,100,5.59,RU,overcast clouds
jamestown,42.097,-79.2353,27.72,75,0,3.44,US,clear sky
akyab,20.15,92.9,74.82,56,100,9.46,MM,overcast clouds
souillac,-20.5167,57.5167,79.72,64,51,6.69,MU,broken clouds
carnarvon,-24.8667,113.6333,77.5,69,0,24.18,AU,clear sky
gangotri,-24.8667,113.6333,77.5,69,0,24.18,AU,clear sky
kapuskasing,49.4169,-82.4331,0.37,90,100,8.66,CA,overcast clouds
esso,55.9333,158.7,20.88,95,100,4.56,RU,light snow
tsihombe,55.9333,158.7,20.88,95,100,4.56,RU,light snow
ixtapa,20.7,-105.2,67.23,87,88,2.01,MX,overcast clouds
sangre grande,10.5835,-61.1177,75.18,95,28,6.6,TT,light rain
kiama,-34.6833,150.8667,63.57,74,81,1.99,AU,broken clouds
luena,-11.7833,19.9167,78.24,57,100,4.56,AO,overcast clouds
mayumba,-3.432,10.6554,77.22,87,100,8.46,GA,overcast clouds
mys shmidta,-3.432,10.6554,77.22,87,100,8.46,GA,overcast clouds
makkaveyevo,51.7533,113.9454,-14.3,96,7,3.0,RU,clear sky
eureka,40.8021,-124.1637,52.2,97,99,1.66,US,overcast clouds
ribeira grande,38.5167,-28.7,64.8,94,75,24.0,PT,broken clouds
pevek,69.7008,170.3133,7.07,66,2,5.91,RU,clear sky
amderma,69.7008,170.3133,7.07,66,2,5.91,RU,clear sky
centralia,46.7162,-122.9543,33.75,95,100,0.0,US,overcast clouds
mareeba,-17.0,145.4333,72.45,91,97,3.47,AU,overcast clouds
longyearbyen,78.2186,15.6401,10.24,72,75,10.36,SJ,broken clouds
ulladulla,-35.35,150.4667,58.51,80,84,5.14,AU,light rain
rolla,37.9514,-91.7713,21.85,89,20,4.61,US,few clouds
linxia,35.6003,103.2064,25.57,45,0,3.18,CN,clear sky
iqaluit,63.7506,-68.5145,-4.31,76,99,3.0,CA,overcast clouds
santa catalina,9.3337,122.8637,78.53,88,96,1.92,PH,overcast clouds
loralai,30.3705,68.598,55.92,18,0,3.33,PK,clear sky
adrar,20.5022,-10.0711,69.84,20,0,16.35,MR,clear sky
faya,18.3851,42.4509,64.92,40,7,11.21,SA,clear sky
trincomalee,8.5711,81.2335,77.74,85,100,14.74,LK,moderate rain
kutum,14.2,24.6667,76.55,23,78,4.59,SD,broken clouds
iskateley,67.6803,53.1512,-14.96,100,24,5.64,RU,few clouds
purwodadi,-7.0868,110.9158,79.48,84,99,4.27,ID,moderate rain
tigil,57.8,158.6667,31.77,79,95,17.96,RU,overcast clouds
lebu,-37.6167,-73.65,58.28,90,62,9.08,CL,broken clouds
richards bay,-28.783,32.0377,70.84,75,100,10.71,ZA,light rain
tabuk,17.4189,121.4443,71.62,90,97,10.2,PH,overcast clouds
pecos,31.4229,-103.4932,36.43,93,0,4.61,US,clear sky
jimo,36.3897,120.4622,30.99,45,93,5.93,CN,overcast clouds
xining,36.6167,101.7667,26.71,33,0,2.55,CN,clear sky
winnemucca,40.973,-117.7357,30.07,87,93,6.33,US,overcast clouds
yar-sale,66.8333,70.8333,-20.24,98,98,8.19,RU,overcast clouds
chitipa,-9.7024,33.2697,76.32,54,98,6.26,MW,light rain
carikar,-9.7024,33.2697,76.32,54,98,6.26,MW,light rain
tilichiki,60.4667,166.1,29.07,52,100,31.0,RU,overcast clouds
chatra,24.2167,84.8667,68.76,27,74,5.93,IN,broken clouds
cayenne,4.9333,-52.3333,75.24,94,75,0.0,GF,broken clouds
jasmine estates,28.2931,-82.6901,61.99,95,100,1.99,US,overcast clouds
thanh hoa,19.8,105.7667,62.19,56,83,5.17,VN,broken clouds
sistranda,63.7256,8.834,33.76,79,83,9.04,NO,light snow
sangmelima,2.9333,11.9833,81.88,54,96,3.85,CM,overcast clouds
victoria,22.2855,114.1577,67.24,42,100,8.99,HK,overcast clouds
avarua,-21.2078,-159.775,75.25,94,20,5.75,CK,few clouds
kruisfontein,-34.0033,24.7314,73.89,43,14,19.98,ZA,few clouds
padang,-0.9492,100.3543,82.45,81,92,3.51,ID,overcast clouds
henties bay,-22.116,14.2845,68.2,68,41,9.15,NA,scattered clouds
yichun,47.7,128.9,0.32,97,100,4.81,CN,light snow
bilisht,40.6275,20.99,46.15,48,1,1.5,AL,clear sky
kyshtovka,56.555,76.6271,-1.17,98,100,3.47,RU,overcast clouds
seondha,26.1578,78.7797,71.71,32,3,3.18,IN,clear sky
corinth,37.9407,22.9573,55.89,55,4,5.41,GR,clear sky
neijiang,29.5835,105.0622,52.02,55,1,4.92,CN,clear sky
bronnoysund,65.4625,12.1997,41.0,81,75,14.0,NO,light intensity shower rain
roma,43.2128,-75.4557,19.69,92,0,3.44,US,clear sky
morgan city,29.6994,-91.2068,48.0,93,100,8.05,US,overcast clouds
manokwari,-0.8667,134.0833,79.18,85,99,5.28,ID,overcast clouds
ahipara,-35.1667,173.1667,61.3,92,6,5.82,NZ,clear sky
tautira,-17.7333,-149.15,79.36,84,32,17.11,PF,scattered clouds
hailey,43.5196,-114.3153,31.86,80,100,30.0,US,overcast clouds
myrtle beach,33.6891,-78.8867,37.18,89,100,5.75,US,moderate rain
nelson bay,-32.7167,152.15,64.0,76,59,11.01,AU,broken clouds
port hardy,50.6996,-127.4199,21.16,63,35,2.35,CA,scattered clouds
lagoa,39.05,-27.9833,62.85,91,93,27.49,PT,light rain
nongstoin,25.5167,91.2667,54.14,83,53,3.53,IN,broken clouds
tual,-5.6667,132.75,83.57,77,98,16.33,ID,overcast clouds
alyangula,-13.8483,136.4192,79.21,87,100,18.37,AU,moderate rain
lompoc,34.6391,-120.4579,52.84,100,0,4.61,US,clear sky
high level,58.5169,-117.136,-39.89,60,40,0.0,CA,haze
kavaratti,10.5669,72.642,81.75,69,99,8.95,IN,overcast clouds
mount gambier,-37.8333,140.7667,60.82,73,25,5.35,AU,scattered clouds
aklavik,68.2191,-135.0107,-12.53,89,99,8.61,CA,overcast clouds
macaiba,-5.8583,-35.3539,85.03,70,40,12.66,BR,scattered clouds
hambantota,6.1241,81.1185,80.56,80,90,8.3,LK,overcast clouds
grand baie,-20.0182,57.5802,83.44,58,10,7.0,MU,clear sky
tupaciguara,-18.5922,-48.705,68.99,88,92,4.07,BR,overcast clouds
avera,33.194,-82.5271,38.71,80,100,10.71,US,overcast clouds
yarada,17.65,83.2667,80.92,65,20,9.22,IN,haze
deputatskiy,69.3,139.9,-10.7,100,61,0.4,RU,broken clouds
bansud,12.865,121.4564,77.32,88,47,7.96,PH,scattered clouds
kalamazoo,42.2506,-85.55,28.65,74,40,6.91,US,scattered clouds
los andes,-32.8337,-70.5983,70.02,39,0,1.19,CL,clear sky
pucallpa,-8.3791,-74.5539,70.57,98,92,1.77,PE,overcast clouds
nebaj,15.4058,-91.1461,57.78,97,100,2.3,GT,light rain
semey,50.4111,80.2275,19.62,73,0,6.71,KZ,clear sky
ferrol,43.4832,-8.2369,61.32,85,100,19.66,ES,overcast clouds
cazaje,43.4832,-8.2369,61.32,85,100,19.66,ES,overcast clouds
zachary,30.6485,-91.1565,47.93,92,100,9.22,US,overcast clouds
nuevo progreso,23.1667,-97.95,54.46,77,67,1.01,MX,broken clouds
buraydah,26.326,43.975,76.46,21,3,10.74,SA,clear sky
funadhoo,6.15,73.2667,81.54,69,96,4.59,MV,overcast clouds
nizhniy kuranakh,58.8353,125.4869,-35.09,100,97,1.83,RU,overcast clouds
dingle,10.9995,122.6711,76.17,93,100,6.26,PH,overcast clouds
korla,41.7597,86.1469,23.0,44,63,2.8,CN,broken clouds
lasa,46.6166,10.7002,33.69,97,100,3.94,IT,overcast clouds
cap malheureux,-19.9842,57.6142,83.46,58,9,7.0,MU,clear sky
grand gaube,-20.0064,57.6608,83.37,58,9,7.0,MU,clear sky
mehamn,71.0357,27.8492,22.95,86,40,2.3,NO,light snow
shuyskoye,59.3736,41.0305,17.08,90,100,9.69,RU,overcast clouds
inta,66.0317,60.1659,-22.2,99,13,5.03,RU,few clouds
camana,-16.6228,-72.7111,70.39,89,99,5.61,PE,overcast clouds
kuryk,43.2,51.65,38.77,53,49,13.35,KZ,scattered clouds
jatiroto,-7.8833,111.1167,76.82,87,82,4.21,ID,broken clouds
twentynine palms,34.1356,-116.0542,54.07,32,0,6.26,US,clear sky
ajdabiya,30.7554,20.2263,60.39,49,51,2.24,LY,broken clouds
martapura,-3.4167,114.85,84.29,79,0,3.44,ID,clear sky
joshimath,30.5667,79.5667,53.11,25,0,4.14,IN,clear sky
shwebo,22.5667,95.7,76.55,48,11,3.69,MM,few clouds
vao,-22.6667,167.4833,73.9,78,100,14.54,NC,overcast clouds
moose factory,51.2585,-80.6094,6.78,78,100,12.66,CA,overcast clouds
ambilobe,-13.2,49.05,86.54,59,63,9.75,MG,light rain
leskovac,42.9981,21.9461,42.39,46,6,2.46,RS,clear sky
sahrak,42.9981,21.9461,42.39,46,6,2.46,RS,clear sky
roald,62.5833,6.1333,43.09,70,40,10.36,NO,scattered clouds
coquimbo,-29.9533,-71.3436,60.53,88,0,3.44,CL,clear sky
lucea,18.451,-78.1736,71.85,81,2,9.44,JM,clear sky
aflu,18.451,-78.1736,71.85,81,2,9.44,JM,clear sky
maceio,-9.6658,-35.7353,83.64,69,40,12.66,BR,scattered clouds
belize,17.25,-88.75,67.46,98,46,1.48,BZ,scattered clouds
airai,-8.9266,125.4092,60.69,95,100,1.63,TL,light rain
kimberley,-28.7323,24.7623,84.22,16,0,3.65,ZA,clear sky
palauig,15.435,119.9045,78.8,83,77,19.53,PH,broken clouds
bow island,49.8668,-111.3684,-22.79,97,100,9.78,CA,overcast clouds
egvekinot,66.3167,-179.1667,5.36,67,0,13.38,RU,clear sky
klaksvik,62.2266,-6.589,41.92,84,97,3.96,FO,light rain
lianran,24.9227,102.485,50.09,72,96,2.24,CN,overcast clouds
whitehorse,60.7161,-135.0538,-21.91,95,100,3.11,CA,overcast clouds
karpogory,64.0019,44.4451,11.44,87,100,9.6,RU,overcast clouds
bucerias,20.75,-105.3333,67.98,87,94,3.24,MX,overcast clouds
cololaca,14.3,-88.8833,64.83,93,24,5.55,HN,few clouds
jiroft,14.3,-88.8833,64.83,93,24,5.55,HN,few clouds
vacaria,-28.5122,-50.9339,60.49,86,34,6.58,BR,scattered clouds
guerrero negro,27.9769,-114.0611,56.52,59,0,9.4,MX,clear sky
port macquarie,-31.4333,152.9167,59.9,74,48,0.56,AU,scattered clouds
labuhan,-6.8844,112.2051,81.18,82,59,8.75,ID,moderate rain
maraa,-1.8333,-65.3667,71.6,100,100,0.98,BR,very heavy rain
itoman,26.1247,127.6694,64.42,88,75,32.21,JP,broken clouds
sentyabrskiy,26.1247,127.6694,64.42,88,75,32.21,JP,broken clouds
petrinja,45.4375,16.29,35.51,80,100,4.63,HR,overcast clouds
cidreira,-30.1811,-50.2056,71.98,74,16,12.71,BR,few clouds
port-gentil,-0.7193,8.7815,78.76,89,75,1.14,GA,thunderstorm
belushya guba,-0.7193,8.7815,78.76,89,75,1.14,GA,thunderstorm
esmeraldas,-19.7625,-44.3139,67.06,96,100,4.65,BR,overcast clouds
sao felix do xingu,-6.6447,-51.995,74.55,93,97,0.98,BR,overcast clouds
puerto del rosario,28.5004,-13.8627,71.35,68,0,11.5,ES,clear sky
bambous virieux,-20.3428,57.7575,83.21,67,6,13.02,MU,clear sky
ararangua,-28.9347,-49.4858,67.93,89,59,1.61,BR,broken clouds
vaitupu,-28.9347,-49.4858,67.93,89,59,1.61,BR,broken clouds
petropavlovsk-kamchatskiy,53.0452,158.6483,19.99,79,75,2.24,RU,broken clouds
phultala,22.7,89.5167,75.85,43,25,5.23,BD,scattered clouds
vaasa,63.096,21.6158,32.29,100,100,1.14,FI,overcast clouds
pisco,-13.7,-76.2167,68.05,88,100,5.75,PE,smoke
ambon,-3.6954,128.1814,81.23,13,40,5.75,ID,scattered clouds
zhigansk,66.7697,123.3711,-26.28,91,90,9.17,RU,overcast clouds
esil,51.9556,66.4042,2.79,96,100,7.61,KZ,overcast clouds
roebourne,-20.7833,117.1333,78.67,58,0,17.16,AU,clear sky
tazovskiy,67.4667,78.7,-23.08,97,98,3.06,RU,overcast clouds
alihe,50.5667,123.7167,-5.46,96,100,2.3,CN,overcast clouds
porbandar,21.6422,69.6093,82.22,34,2,13.27,IN,clear sky
oranjestad,12.524,-70.027,77.92,88,20,12.66,AW,few clouds
sosua,19.7667,-70.5167,66.18,88,40,0.0,DO,scattered clouds
leningradskiy,69.3833,178.4167,5.0,82,2,12.46,RU,clear sky
abha,18.2164,42.5053,64.65,42,40,11.5,SA,scattered clouds
coahuayana,18.7333,-103.6833,67.69,73,32,4.23,MX,scattered clouds
kommunisticheskiy,61.6789,64.4819,-13.77,95,92,7.11,RU,overcast clouds
tingo maria,-9.2895,-76.0088,67.96,94,100,1.3,PE,overcast clouds
berlevag,70.8578,29.0864,24.6,80,100,1.14,NO,overcast clouds
tahoua,14.8888,5.2692,80.22,16,60,15.19,NE,broken clouds
tahe,52.3333,124.7333,-10.59,92,100,3.53,CN,overcast clouds
ushirombo,-3.4919,31.9639,74.44,74,99,2.73,TZ,moderate rain
oxelosund,58.6706,17.1015,41.38,93,75,10.36,SE,broken clouds
severnoye,56.3491,78.3619,6.67,95,100,3.31,RU,overcast clouds
carballo,43.213,-8.691,60.49,92,98,12.15,ES,overcast clouds
tsabong,-26.0217,22.401,93.94,13,0,2.57,BW,clear sky
vestmannaeyjar,63.4427,-20.2734,34.79,60,20,10.36,IS,few clouds
el dorado,38.7666,-120.5177,42.66,70,35,3.0,US,scattered clouds
simga,21.6333,81.7,78.19,25,90,4.74,IN,overcast clouds
pimentel,-6.8367,-79.9342,66.49,100,100,19.57,PE,mist
georgetown,5.4112,100.3354,84.13,82,20,8.05,MY,few clouds
ukiah,39.1502,-123.2078,52.93,92,100,0.0,US,overcast clouds
longyan,25.1072,117.0225,45.84,72,13,5.23,CN,few clouds
plettenberg bay,-34.0527,23.3716,70.56,61,3,18.95,ZA,clear sky
saint-georges,12.0564,-61.7485,76.42,84,27,12.86,GD,light rain
bangkal,6.0667,121.0667,79.14,87,84,6.53,PH,broken clouds
palmer,42.1584,-72.3287,23.45,93,0,0.0,US,clear sky
viedma,-40.8135,-62.9967,80.96,31,16,20.15,AR,few clouds
aswan,24.0934,32.907,77.34,28,68,11.34,EG,broken clouds
wilmington,34.2257,-77.9447,37.9,85,100,11.5,US,moderate rain
seoul,37.5683,126.9778,33.24,100,75,2.3,KR,light rain and snow
san jose,37.3394,-121.895,50.58,81,0,1.01,US,haze
zemetchino,53.4973,42.6163,23.38,97,61,3.67,RU,broken clouds
ugoofaaru,5.6667,73.0,80.73,70,100,2.55,MV,light rain
namie,37.4833,141.0,39.72,88,97,5.08,JP,overcast clouds
zaozhuang,34.8647,117.5542,36.63,34,41,0.43,CN,scattered clouds
petropavl,54.8753,69.1628,-4.02,84,40,8.95,KZ,scattered clouds
anahuac,27.2333,-100.15,50.4,89,97,6.46,MX,overcast clouds
marystown,47.1666,-55.1483,33.12,70,68,17.02,CA,broken clouds
